temp_c,V_median_mV,n_files,fit_intercept_mV,fit_K_mV_per_C,fit_R2,fit_n_temps,D_STRONG_mV
-10.0,2787.25,6,2802.5815154994257,0.46699196326062975,0.48010484529048136,3,39.71779563719847
20.0,2831.0,18,2802.5815154994257,0.46699196326062975,0.48010484529048136,3,39.71779563719847
58.0,2821.25,18,2802.5815154994257,0.46699196326062975,0.48010484529048136,3,39.71779563719847
