subfolder,device,temp_mode_C,temp_group_C,time_at_low_batt_hours,batt_mV__value,batt_mV__d1_per_hour,batt_mV__d2_per_hour2,batt_mV__noise_std,batt_mV__spearman_pre_low,soundDroop_mV__value,soundDroop_mV__d1_per_hour,soundDroop_mV__d2_per_hour2,soundDroop_mV__noise_std,soundDroop_mV__spearman_pre_low,boltDroop_mV__value,boltDroop_mV__d1_per_hour,boltDroop_mV__d2_per_hour2,boltDroop_mV__noise_std,boltDroop_mV__spearman_pre_low,soundDroopMag_mV__value,soundDroopMag_mV__d1_per_hour,soundDroopMag_mV__d2_per_hour2,soundDroopMag_mV__noise_std,soundDroopMag_mV__spearman_pre_low,boltDroopMag_mV__value,boltDroopMag_mV__d1_per_hour,boltDroopMag_mV__d2_per_hour2,boltDroopMag_mV__noise_std,boltDroopMag_mV__spearman_pre_low
temp-60c,BE-1,58.0,58,65.11861111111111,2809.0,-11.973393381743335,-0.0016552985458115899,10.097484026898453,-0.9446387985540302,2599.0,-12.979753885090759,14.947909364495478,16.25561127608506,-0.9559550549649556,1474.0,-97.8031884689758,-25.945827528451197,41.612890467512884,-0.940341652543697,210.0,1.0063605033478495,-14.94956466304166,6.761234037828133,0.8163310776251564,1335.0,85.82979508723292,25.944172229905384,34.704584182285,0.9191793421087415
temp-60c,BE-2,58.0,58,64.11555555555556,2800.0,-17.960088691796045,3.980624017958702,10.84774028946836,-0.9521594462110541,2602.0,-18.95787139689628,-7.964563837442504,14.898294656552789,-0.9737944983257265,1575.0,-55.87583148558633,48.77549126697979,55.36631260458449,-0.9024839870444458,198.0,0.9977827051000929,11.94518785540129,5.879747322073336,0.8619979463325171,1225.0,37.91574279379029,-44.79486724902109,47.107345932628455,0.8649843049996295
temp-60c,BE-3,58.0,58,65.61666666666666,2827.0,-6.9891833844940265,2.9883672731045,8.101398216433044,-0.9348111277856586,2700.0,-17.97171150179247,16.934081214260377,10.965623464225994,-0.9570645494147322,1644.0,-129.78647082311977,25.89918303357224,49.54198384466761,-0.9181737201481609,127.0,10.982528117298713,-13.94571394115596,4.580348440537541,0.7241145592539981,1183.0,122.7972874386262,-22.910815760467514,46.541620609725136,0.8937036748464432
temp-60c,BE-4,58.0,58,64.6125,2817.0,-9.97616761395102,-20.920505053279285,7.9718893876021175,-0.9352510769535585,2702.0,-6.992503792830121,-0.9994388397586134,8.236305888799757,-0.9567537133343049,2012.0,-100.62304547882991,-120.39431388295564,95.01342547455157,-0.9494232745721822,115.0,-2.9836638211209703,-19.92106621352049,3.927922024247863,0.6838710302717093,805.0,90.64687786487889,99.47380882967668,90.22307953973115,0.9283483270775366
temp-60c,BE-7,58.0,58,68.62555555555555,2770.0,0.0,0.9980562595754883,8.295560651975986,-0.9430102524063821,2384.0,-8.985024958402391,-9.95956833339583,16.30450044294144,-0.9658431718406578,1976.0,246.5890183028289,-24.881793935239404,79.81662657335889,-0.9525969077934576,386.0,8.985024958402676,10.957624592970578,8.827138117585946,0.9133305307139329,794.0,-246.589018302829,25.879850194814217,76.05422340645642,0.9032066713689898
temp-20c,BE-1,20.0,20,56.62833333333333,2744.0,-10.975609756097583,10.954308026915703,12.64588341504613,-0.9301353148633364,2064.0,-30.931263858093644,13.953980954882553,33.83513449848563,-0.7275213312388744,1372.0,-80.82039911307766,-46.09022135517381,86.326385873377,-0.18235465665212064,680.0,19.95565410199572,-2.9996729279668486,21.82210076121575,0.513420351886248,1372.0,69.84478935698007,57.04452938208974,81.89490527623853,-0.2456109798105605
temp-20c,BE-2,20.0,20,51.61888888888889,2775.0,-2.996388680165637,-0.9950186876949587,15.781673691018831,-0.8843607102902658,2033.0,-32.910524543619886,-5.9701121261684165,36.851051545376556,-0.9526610460929693,1245.0,22.1430387032442,-229.8493168574749,59.01781121675326,-0.39615897629058716,742.0,29.914135863454135,4.975093438473007,21.92007746150472,0.8912032543619154,1530.0,-25.139427383410066,228.85429816977967,62.26998490772391,0.07711061936183919
temp-20c,BE-3,20.0,20,56.12861111111111,2729.0,-17.96727631695012,-22.89507482742999,19.970386238894136,-0.909254000384252,2436.0,-27.93239000514268,-18.9020493572878,25.448627724520325,-0.9525641802057089,1109.0,-106.64971245287143,-86.38558451518256,59.662999165209214,-0.7926022361251924,293.0,9.965113688192162,-3.9930254701417898,7.7354207832462185,0.8146973225035267,1620.0,88.68243613592108,63.49050968775303,54.20332093147061,0.6772900268603457
temp-20c,BE-4,20.0,20,56.60777777777778,2733.0,-19.955654101995606,3.9822813063847615,14.951622668063935,-0.919480301485019,2169.0,-32.92682926829275,-7.964562612769836,36.49433839232981,-0.9457037934865857,1444.0,-118.73614190687249,-38.82724273725313,42.09125169661452,-0.6552448307877579,564.0,12.97117516629703,11.946843919154821,22.168188275738085,0.9098518864526944,1289.0,98.78048780487688,42.80952404363789,32.75387498496342,0.5912267593792034
temp-20c,BE-7,20.0,20,59.11611111111111,2690.0,-29.920769321880925,-6.962373613024589,22.357028753702437,-0.9197584001689022,2549.0,-24.938212477784873,-7.959599162068837,23.156962191945293,-0.9526208699973281,1093.0,-36.02520989907384,-11.042586761335798,71.85671684054346,-0.7622064123606394,141.0,-4.982556844096081,0.997225549044672,2.7701027756664733,0.7285764858972554,1597.0,6.104440577192918,4.080213148311657,58.1812789863698,0.7269632596003139
