temp_group_C,column,N,mean_noise_std,mean_abs_spearman,SNR_slope,mean_value_at_low,std_value_at_low,norm_std_value_at_low,worst_pct_error_from_value_threshold,mean_abs_slope_at_low,std_abs_slope_at_low,norm_std_abs_slope_at_low,worst_pct_error_from_abs_slope_threshold,mean_abs_curvature_at_low,std_abs_curvature_at_low,norm_std_abs_curvature_at_low,worst_pct_error_from_abs_curvature_threshold
-18,VOC,2,16.115747382603683,0.9878324611361404,0.8973431222096492,2658.5,21.920310216782973,0.008245367770089515,0.033998389384715354,14.46135507304757,7.765423805176411,0.536977604515725,0.9604751138780595,5.468192574492893,2.1095844238808503,0.3857919038406375,0.9355368448203866
-18,Bolt Droop,2,7.844260842923822,0.7661793925216667,1.0165356035597213,1682.0,57.982756057296896,0.034472506573898276,0.9703669772970559,7.9739704304414545,5.64665705036052,0.708136191326196,0.9630226756160369,6.469825123253592,3.517142928364892,0.5436225649629561,0.9469759351914435
-18,Bolt Min Voltage,2,8.770400627959436,0.9929379341153004,0.7396907983798311,976.5,36.062445840513924,0.0369303080804034,0.1185844385562367,6.487384642606287,2.1187667548158116,0.3265979854039614,0.9583463643147171,1.0016325487610365,1.40755850448372,1.4052643419233843,1.0
-18,ST Droop,2,7.379314977895402,0.8104221577592534,1.014157205133887,453.0,107.48023074035522,0.23726320251734045,1.0,7.483785453785032,9.170638543040893,1.225401048663509,0.9631563599254994,3.476640235221712,3.517337503176069,1.0117059187033661,0.9615783859785729
-18,ST Min Voltage,2,22.58918872187631,0.9927272481437205,0.9272566639083276,2205.5,85.55992052357225,0.03879388824464849,0.09757731035195848,20.945975774642648,2.81824708145715,0.13454837873291825,0.9593578162363159,8.944832809714125,1.4077530792947754,0.15738170955704728,0.9299053669627163
20,VOC,6,18.71590588713559,0.9212237650512941,1.149006755171973,2717.0,16.946976131451887,0.006237385399871876,0.03497119604544729,21.50470229348169,10.513811683898755,0.4889075673038081,0.979395108660287,7.538527192217618,7.870751568200237,1.0440701966725796,0.9689633279812664
20,Bolt Droop,6,43.490919478444475,0.5364143371978084,0.7207935240129433,1371.5,514.3223697254476,0.3750071962999983,1.0,31.34797311343115,32.74866987208831,1.0446822113056178,1.0,37.533652723623675,46.79376766719934,1.2467149949876142,1.0000000000000002
20,Bolt Min Voltage,6,54.04841562715572,0.6488871801267407,0.8854168431913417,1345.5,522.9545869384835,0.38866933254439506,0.9695488027702569,47.8553775440898,38.02894910418492,0.7946640702844385,1.0,43.63190543776258,51.205817188748945,1.1735865457856278,1.0
20,ST Droop,6,34.508431378323415,0.796624913776641,0.9475765811833933,479.8333333333333,295.9218928478707,0.6167180816558612,1.0,32.69938142747343,37.29420241186112,1.140517061296065,1.0000000000000002,32.32896765692807,42.637094777319014,1.3188511068395319,1.0000000000000002
20,ST Min Voltage,6,50.03861109192953,0.9206833389832766,1.0500537543509925,2237.1666666666665,296.5976511482629,0.1325773602689099,0.24627195824800607,52.54323143958982,44.31997456297541,0.8434954103257072,0.9849918059534164,35.88181603447535,40.64538286268732,1.132757127555504,0.9772230136641563
58,VOC,5,10.269915106383635,0.942746280704764,1.1854581464264908,2803.4,23.52232981658067,0.00839064343888873,0.07877953714009865,12.174554525970962,4.593915192069155,0.3773374362297478,0.978910503777348,9.56421181545181,8.646086468437764,0.9040040763703356,0.9727431610005844
58,Bolt Droop,5,61.432655452994915,0.9031574889310591,1.4937409230942367,1084.2,242.23273932315593,0.22342071511082448,0.26030673543863775,91.76447146448682,77.00340413782007,0.8391418041090191,0.992382257418897,106.1863134365722,77.64090050902718,0.7311761562887675,0.9878952205414001
58,Bolt Min Voltage,5,66.55510055212737,0.9333499185906131,1.5616988799986926,1719.2,233.68718407306807,0.13592786416534902,0.21593020902503163,103.93902599045768,78.62582781412316,0.7564610796077842,1.0,106.58321536903384,73.10352180937646,0.6858821208973922,1.0
58,ST Droop,5,6.315330848025589,0.8018983561263212,0.5687687225704984,211.0,115.0804066728998,0.5454047709616104,1.0,3.591962659041576,3.703636009576797,1.0310897860405426,1.0,15.53807284994264,3.7693866387634185,0.24259035693588818,0.9969187121646939
58,ST Min Voltage,5,14.368170393543656,0.9623633302946141,0.9307956676011669,2592.4,137.99746374480947,0.05323154750224096,0.31511096748969725,13.37383075366579,8.856588119554248,0.6622327052498883,0.9780549156457826,7.972515883252337,5.677391993489548,0.7121204995547142,0.9719068037484848
