timestamp,batt_mV,Time Elapsed (hours)
946965435,2895,0.0
946965445,2900,0.002777777777777778
946965455,2906,0.005555555555555556
946965465,2909,0.008333333333333333
946965475,2903,0.011111111111111112
946965485,2904,0.013888888888888888
946965495,2903,0.016666666666666666
946965505,2906,0.019444444444444445
946965515,2892,0.022222222222222223
946965525,2895,0.025
946965535,2894,0.027777777777777776
946965545,2896,0.030555555555555555
946965555,2897,0.03333333333333333
946965565,2898,0.03611111111111111
946965575,2905,0.03888888888888889
946965585,2895,0.041666666666666664
946965595,2899,0.044444444444444446
946965605,2893,0.04722222222222222
946965615,2898,0.05
946965625,2896,0.05277777777777778
946965635,2905,0.05555555555555555
946965645,2897,0.058333333333333334
946965655,2899,0.06111111111111111
946965665,2903,0.06388888888888888
946965675,2898,0.06666666666666667
946965685,2904,0.06944444444444445
946965695,2905,0.07222222222222222
946965705,2905,0.075
946965715,2895,0.07777777777777778
946965725,2896,0.08055555555555556
946965735,2900,0.08333333333333333
946965745,2904,0.08611111111111111
946965755,2909,0.08888888888888889
946965765,2900,0.09166666666666666
946965775,2905,0.09444444444444444
946965785,2899,0.09722222222222222
946965795,2905,0.1
946965805,2903,0.10277777777777777
946965815,2903,0.10555555555555556
946965825,2903,0.10833333333333334
946965835,2894,0.1111111111111111
946965845,2899,0.11388888888888889
946965855,2900,0.11666666666666667
946965865,2912,0.11944444444444445
946965875,2911,0.12222222222222222
946965885,2911,0.125
946965895,2899,0.12777777777777777
946965905,2903,0.13055555555555556
946965915,2909,0.13333333333333333
946965925,2899,0.1361111111111111
946965935,2900,0.1388888888888889
946965945,2903,0.14166666666666666
946965955,2899,0.14444444444444443
946965965,2901,0.14722222222222223
946965975,2898,0.15
946965985,2903,0.1527777777777778
946965995,2899,0.15555555555555556
946966005,2903,0.15833333333333333
946966015,2905,0.16111111111111112
946966025,2896,0.1638888888888889
946966035,2897,0.16666666666666666
946966045,2903,0.16944444444444445
946966055,2896,0.17222222222222222
946966065,2903,0.175
946966075,2897,0.17777777777777778
946966085,2905,0.18055555555555555
946966095,2905,0.18333333333333332
