#time,current,voltage,power,charge,energy
0.0,0.000952172,3.02657,0.00287981,0,0
0.1,0.000847277,3.02659,0.0025638,8.47275e-05,0.00025638
0.2,0.000711275,3.02671,0.00215271,0.000155855,0.000471652
0.3,0.000864607,3.02657,0.00261616,0.000242316,0.000733268
0.4,0.000833977,3.02666,0.00252364,0.000325713,0.000985632
0.5,0.0007039,3.02673,0.00213044,0.000396104,0.00119868
0.6,0.000803001,3.02663,0.00242999,0.000476404,0.00144167
0.7,0.000803307,3.02661,0.00243088,0.000556734,0.00168476
0.8,0.000817011,3.02663,0.0024712,0.000638435,0.00193188
0.9,0.000835456,3.02663,0.00252803,0.000721981,0.00218468
1.0,0.000818749,3.02662,0.00247759,0.000803856,0.00243244
1.1,0.00070603,3.02677,0.00213691,0.000874459,0.00264614
1.2,0.000834453,3.02662,0.00252504,0.000957904,0.00289864
1.3,0.000710803,3.02673,0.0021513,0.00102898,0.00311377
1.4,0.000832787,3.02652,0.00251992,0.00111226,0.00336576
1.5,0.000822913,3.02662,0.0024902,0.00119455,0.00361478
1.6,0.00081969,3.02658,0.00247925,0.00127652,0.00386271
1.7,0.000795492,3.02665,0.00240729,0.00135607,0.00410344
1.8,0.000803485,3.02663,0.00243143,0.00143642,0.00434658
1.9,0.000711149,3.02668,0.00215232,0.00150754,0.00456181
2.0,0.000838557,3.0266,0.00253741,0.00159139,0.00481555
2.1,0.000707695,3.02672,0.00214191,0.00166216,0.00502974
2.2,0.000830495,3.02659,0.00251304,0.00174521,0.00528105
2.3,0.000920742,3.02656,0.0027848,0.00183728,0.00555953
2.4,0.000712,3.02675,0.00215494,0.00190848,0.00577502
2.5,0.000865334,3.02658,0.00261838,0.00199502,0.00603686
2.6,0.000804467,3.02665,0.00243442,0.00207546,0.0062803
2.7,0.000704195,3.02676,0.00213135,0.00214588,0.00649343
2.8,0.000803076,3.02664,0.0024302,0.00222619,0.00673645
2.9,0.000803003,3.02664,0.00242999,0.00230649,0.00697945
3.0,0.000704005,3.02672,0.00213074,0.00237689,0.00719253
3.1,0.000921605,3.02651,0.0027873,0.00246905,0.00747126
3.2,0.000703909,3.02663,0.00213039,0.00253944,0.0076843
3.3,0.000803461,3.02659,0.00243133,0.00261979,0.00792743
3.4,0.000834251,3.02658,0.0025244,0.00270321,0.00817987
3.5,0.000721716,3.02672,0.00218429,0.00277539,0.0083983
3.6,0.000833724,3.02664,0.00252288,0.00285876,0.00865059
3.7,0.000795125,3.02662,0.00240615,0.00293827,0.0088912
3.8,0.000711095,3.02671,0.00215217,0.00300938,0.00910642
3.9,0.000947934,3.02647,0.00286687,0.00310417,0.0093931
4.0,0.000712821,3.02662,0.00215733,0.00317546,0.00960884
