#time,current,voltage,power,charge,energy
0.0,0.000814955,2.795,0.00227746,0,0
0.1,0.000810252,2.79505,0.00226441,8.10251e-05,0.000226441
0.2,0.000807811,2.79509,0.00225763,0.000161806,0.000452203
0.3,0.000807854,2.79504,0.00225771,0.000242591,0.000677974
0.4,0.000810499,2.79506,0.00226512,0.000323642,0.000904487
0.5,0.000822624,2.79486,0.00229869,0.000405904,0.00113436
0.6,0.000808917,2.795,0.00226064,0.000486795,0.00136042
0.7,0.000828484,2.79478,0.00231492,0.000569644,0.00159191
0.8,0.000808236,2.79502,0.00225877,0.000650467,0.00181779
0.9,0.000808857,2.79498,0.00226046,0.000731353,0.00204383
1.0,0.000808422,2.79501,0.00225927,0.000812195,0.00226976
1.1,0.000808323,2.79508,0.00225904,0.000893028,0.00249567
1.2,0.00080977,2.79507,0.00226309,0.000974005,0.00272197
1.3,0.000807705,2.79509,0.00225733,0.00105477,0.00294771
1.4,0.000811212,2.79505,0.0022671,0.0011359,0.00317442
1.5,0.000808825,2.79508,0.00226045,0.00121678,0.00340046
1.6,0.000808402,2.79505,0.00225924,0.00129762,0.00362639
1.7,0.000808443,2.79505,0.00225936,0.00137846,0.00385232
1.8,0.000808919,2.79505,0.00226069,0.00145936,0.00407839
1.9,0.000808795,2.79503,0.00226033,0.00154023,0.00430442
2.0,0.000816174,2.79495,0.00228083,0.00162185,0.00453251
2.1,0.000808769,2.79501,0.00226023,0.00170273,0.00475853
2.2,0.000807858,2.79505,0.00225772,0.00178351,0.0049843
2.3,0.000808165,2.79499,0.00225853,0.00186433,0.00521016
2.4,0.00081035,2.79498,0.00226463,0.00194537,0.00543662
2.5,0.000808562,2.79502,0.00225967,0.00202622,0.00566258
2.6,0.000808014,2.79508,0.00225818,0.00210702,0.0058884
2.7,0.00082294,2.79485,0.00229953,0.00218932,0.00611835
2.8,0.000813697,2.79498,0.00227394,0.00227069,0.00634575
2.9,0.000807712,2.7951,0.00225735,0.00235146,0.00657148
3.0,0.000807486,2.79514,0.00225676,0.00243221,0.00679716
3.1,0.000808229,2.79506,0.00225877,0.00251303,0.00702304
3.2,0.000809399,2.79507,0.00226205,0.00259397,0.00724924
3.3,0.000808432,2.79506,0.00225934,0.00267481,0.00747518
3.4,0.000810422,2.79503,0.00226488,0.00275586,0.00770166
3.5,0.00080918,2.79501,0.00226138,0.00283677,0.0079278
3.6,0.000808383,2.79505,0.0022592,0.00291761,0.00815372
3.7,0.000807869,2.79507,0.00225778,0.0029984,0.0083795
3.8,0.000808772,2.79507,0.00226029,0.00307928,0.00860553
3.9,0.000808198,2.79506,0.00225869,0.0031601,0.0088314
4.0,0.000808518,2.79499,0.00225952,0.00324095,0.00905735
4.1,0.000808238,2.79508,0.00225881,0.00332177,0.00928323
4.2,0.000816966,2.79497,0.00228306,0.00340347,0.00951154
4.3,0.000808108,2.79495,0.00225834,0.00348428,0.00973737
4.4,0.000810143,2.79502,0.00226406,0.00356529,0.00996378
4.5,0.000808228,2.79505,0.00225876,0.00364612,0.0101897
4.6,0.000808097,2.79496,0.00225833,0.00372693,0.0104155
4.7,0.000821082,2.79485,0.00229435,0.00380903,0.0106449
4.8,0.000808979,2.79501,0.00226082,0.00388993,0.010871
4.9,0.000817242,2.79498,0.00228382,0.00397166,0.0110994
5.0,0.000806112,2.79503,0.00225283,0.00405227,0.0113247
5.1,0.000807936,2.79502,0.00225791,0.00413306,0.0115505
5.2,0.000808897,2.79503,0.00226062,0.00421395,0.0117765
5.3,0.000821941,2.79478,0.00229671,0.00429614,0.0120062
5.4,0.000810453,2.79503,0.00226496,0.00437719,0.0122327
5.5,0.000808403,2.79505,0.00225925,0.00445803,0.0124586
5.6,0.0008083,2.79507,0.00225898,0.00453886,0.0126845
5.7,0.00080842,2.79504,0.00225927,0.0046197,0.0129104
5.8,0.000808043,2.79504,0.00225824,0.00470051,0.0131363
5.9,0.000808127,2.79503,0.00225846,0.00478132,0.0133621
6.0,0.000807815,2.79505,0.00225761,0.0048621,0.0135879
6.1,0.000808001,2.7951,0.00225817,0.0049429,0.0138137
6.2,0.000816339,2.79501,0.00228133,0.00502453,0.0140418
6.3,0.000806586,2.79513,0.00225424,0.00510519,0.0142672
6.4,0.000810181,2.79501,0.00226417,0.00518621,0.0144937
6.5,0.000807607,2.79506,0.00225704,0.00526697,0.0147194
6.6,0.000808371,2.79506,0.00225917,0.00534781,0.0149453
6.7,0.000820995,2.79487,0.00229413,0.00542991,0.0151747
6.8,0.000818958,2.79491,0.00228855,0.0055118,0.0154036
6.9,0.00081122,2.79498,0.00226705,0.00559293,0.0156303
7.0,0.000807541,2.79501,0.00225681,0.00567368,0.0158559
7.1,0.000807852,2.79497,0.00225764,0.00575446,0.0160817
