Signal,N,SoC Target (%),Threshold optimization,Detectability,SoC Uncertainty (%),Threshold Direction,Threshold (mV),Avg. Early Pred. (days),Worst. Early Pred. (days),Avg. Late Pred. (days),Worst. Late Pred. (days)
ST Droop,18,2.0,np_backstop,1.014,0.99,>=,94.0,1.0,3.09,0.0,0.0
Bolt Droop,18,2.0,np_backstop,0.872,1.15,>=,126.0,1.3,3.09,0.03,0.03
OCV,18,2.0,np_backstop,0.165,6.06,<=,2822.0,0.52,1.04,0.03,0.03
ST Droop,18,3.0,np_backstop,1.144,0.87,>=,92.0,1.1,3.06,0.0,0.0
Bolt Droop,18,3.0,np_backstop,1.065,0.94,>=,118.0,1.39,3.06,0.0,0.0
OCV,18,3.0,np_backstop,0.18,5.56,<=,2828.0,0.51,1.05,0.0,0.0
Bolt Droop,18,8.0,time_constrained,0.219,4.57,>=,117.0,1.3,2.9,0.0,0.0
ST Droop,18,8.0,time_constrained,0.205,4.87,>=,92.0,0.95,2.9,0.0,0.0
OCV,18,8.0,time_constrained,0.188,5.32,<=,2840.0,0.45,0.98,0.0,0.0
OCV,18,13.0,time_constrained,0.156,6.41,<=,2861.0,0.45,0.91,0.0,0.0
Bolt Droop,18,13.0,time_constrained,0.152,6.56,>=,107.0,1.43,2.74,0.0,0.0
ST Droop,18,13.0,time_constrained,0.136,7.34,>=,86.0,1.23,2.74,0.0,0.0
OCV,18,18.0,time_constrained,0.155,6.47,<=,2894.0,0.48,0.93,0.0,0.0
Bolt Droop,18,18.0,time_constrained,0.136,7.33,>=,106.0,1.3,2.58,0.0,0.0
ST Droop,18,18.0,time_constrained,0.118,8.47,>=,84.0,1.12,2.58,0.0,0.0
