scope,temp_group_C,column,N,mean_value_at_low,std_value_at_low,norm_std_value_at_low,CV_value_at_low,IQR_value_at_low,mean_abs_slope_at_low,std_abs_slope_at_low,norm_std_abs_slope_at_low,mean_abs_curvature_at_low,std_abs_curvature_at_low,norm_std_abs_curvature_at_low,mean_noise_std,mean_abs_spearman,SNR_slope
overall,,batt_mV,17,2731.3529411764707,64.61031378238944,0.023655058563965724,0.023655058563965724,85.0,16.080609714461925,10.093527639715491,0.6276831425513664,7.320224775930856,6.624209763444098,0.9049189015649794,15.874334357858075,0.9351430083172032,1.0129942681030741
overall,,boltDroopMag_mV,17,1384.9411764705883,271.1179334229468,0.19576133487045938,0.19576133487045938,308.0,63.63835096104182,59.47288668853686,0.9345447484166429,48.94106510348679,53.403936469034115,1.0911886849236014,51.238946987485505,0.6420112585928609,1.241991779740999
overall,,boltDroop_mV,17,1346.4117647058824,313.1639065296976,0.23259148110467295,0.23259148110467295,365.0,71.73861705740862,62.14430092012579,0.8662600907178765,51.108040469443225,56.095372172655345,1.0975840916106727,59.823623372270326,0.7554620202130614,1.1991687064989978
overall,,soundDroopMag_mV,17,457.70588235294116,248.63245079481337,0.5432144536064551,0.5432144536064551,412.0,22.30033911755914,33.1069767774738,1.4845952163752336,14.119709919330045,22.442706420055842,1.5894594540735938,19.395373078784136,0.783663971667283,1.149776239259488
overall,,soundDroop_mV,17,2273.6470588235293,290.51354124559987,0.12777424715862565,0.12777424715862565,485.0,37.326197606443806,39.30485145398794,1.0530097886853214,14.994148284932685,23.103562149505695,1.5408385798559827,34.086505840818006,0.9323691581972686,1.0950432344328564
per_temp,-18.0,batt_mV,2,2658.5,21.920310216782973,0.008245367770089515,0.008245367770089515,,14.46135507304757,7.765423805176411,0.536977604515725,5.468192574492893,2.1095844238808503,0.3857919038406375,16.115747382603683,0.9878324611361404,0.8973431222096492
per_temp,-18.0,boltDroopMag_mV,2,1682.0,57.982756057296896,0.034472506573898276,0.034472506573898276,,7.9739704304414545,5.64665705036052,0.708136191326196,6.469825123253592,3.517142928364892,0.5436225649629561,7.844260842923822,0.7661793925216667,1.0165356035597213
per_temp,-18.0,boltDroop_mV,2,976.5,36.062445840513924,0.0369303080804034,0.0369303080804034,,6.487384642606287,2.1187667548158116,0.3265979854039614,1.0016325487610365,1.40755850448372,1.4052643419233843,8.770400627959436,0.9929379341153004,0.7396907983798311
per_temp,-18.0,soundDroopMag_mV,2,453.0,107.48023074035522,0.23726320251734045,0.23726320251734045,,7.483785453785032,9.170638543040893,1.225401048663509,3.476640235221712,3.517337503176069,1.0117059187033661,7.379314977895402,0.8104221577592534,1.014157205133887
per_temp,-18.0,soundDroop_mV,2,2205.5,85.55992052357225,0.03879388824464849,0.03879388824464849,,20.945975774642648,2.81824708145715,0.13454837873291825,8.944832809714125,1.4077530792947754,0.15738170955704728,22.58918872187631,0.9927272481437205,0.9272566639083276
per_temp,20.0,batt_mV,10,2709.3,49.56936778114304,0.018296005529525355,0.018296005529525355,48.0,19.754882192777313,10.701060803169126,0.5416919573978324,8.461822813937498,6.405924391892033,0.7570383512806262,19.231811674600188,0.9211895517209492,1.0271981926106293
per_temp,20.0,boltDroopMag_mV,10,1483.8,126.53484368610357,0.08527756010655316,0.08527756010655316,189.75,48.212530398947095,31.849642639848803,0.6606092311749802,60.005494224888345,63.664475077628104,1.060977430483726,56.07427234305798,0.48724102906339634,0.8597977001642864
per_temp,20.0,boltDroop_mV,10,1225.5,129.74355047126193,0.10586989022542793,0.10586989022542793,188.25,57.59041661313931,41.581858222273596,0.7220273904527833,62.093681323581436,64.42433635840707,1.0375344960251298,67.81095571080012,0.6193958933289501,0.8492789403935064
per_temp,20.0,soundDroopMag_mV,10,583.9,225.4582740405269,0.3861248056868075,0.3861248056868075,113.5,33.91828339856651,39.55090438027632,1.1660644471750556,16.136263089207738,29.307019922349433,1.8162210023676775,28.498632244126675,0.7701798058627988,1.1901723250440126
per_temp,20.0,soundDroop_mV,10,2125.4,241.03443737358361,0.11340662339963471,0.11340662339963471,129.75,52.67665422252473,45.690887276874264,0.8673840043800024,18.62052936350746,29.924603997085175,1.607075900631024,46.76318861215485,0.9055410205185748,1.1264555687041589
per_temp,58.0,batt_mV,5,2804.6,21.755459085020476,0.007757063069607244,0.007757063069607244,17.0,9.379766614396885,6.6030188329300525,0.7039640861420968,5.777841580492757,8.609908399723711,1.490159998292896,9.06281451447559,0.9419741403821366,1.0349728110858987
per_temp,58.0,boltDroopMag_mV,5,1068.4,251.69783471456404,0.23558389621355674,0.23558389621355674,420.0,116.75574429747147,78.6559157986962,0.6736791947323454,43.80070285277698,32.31440514911757,0.737759968321349,58.926170734165225,0.9018844640802681,1.9813903201718963
per_temp,58.0,boltDroop_mV,5,1736.2,243.31296718424196,0.140141093874117,0.140141093874117,401.0,126.13551091186814,72.30561162804324,0.5732375530516837,49.17932192943966,41.060528959890036,0.8349144996102608,64.27024779293508,0.9326039084203888,1.9625801244496464
per_temp,58.0,soundDroopMag_mV,5,207.2,108.3914203246733,0.5231246154665701,0.5231246154665701,83.0,4.991072021054061,4.682498781110202,0.9381749574756304,14.343831453217996,3.494669006363618,0.24363567138678274,5.995277988454563,0.7999290288394628,0.8325005163506417
per_temp,58.0,soundDroop_mV,5,2597.4,129.45192157708593,0.04983903964621773,0.04983903964621773,101.0,13.177373107002404,5.297812895727657,0.40203861973919675,10.16111231787056,6.276707730991016,0.6177185661014729,13.332067145721007,0.9618821975760754,0.9883968452132907
