timestamp,batt_mV,Time Elapsed (hours)
946938651,2953,0.0
946938661,2955,0.002777777777777778
946938671,2965,0.005555555555555556
946938681,2961,0.008333333333333333
946938691,2959,0.011111111111111112
946938701,2958,0.013888888888888888
946938711,2962,0.016666666666666666
946938721,2958,0.019444444444444445
946938731,2834,0.022222222222222223
946938741,2865,0.025
946938751,2938,0.027777777777777776
946938761,2956,0.030555555555555555
946938771,2946,0.03333333333333333
946938781,2949,0.03611111111111111
946938791,2940,0.03888888888888889
946938801,2950,0.041666666666666664
946938811,2952,0.044444444444444446
946938821,2963,0.04722222222222222
946938831,2951,0.05
946938841,2956,0.05277777777777778
946938851,2947,0.05555555555555555
946938861,2947,0.058333333333333334
946938871,2955,0.06111111111111111
946938881,2954,0.06388888888888888
946938891,2954,0.06666666666666667
946938901,2953,0.06944444444444445
946938911,2951,0.07222222222222222
946938921,2952,0.075
946938931,2959,0.07777777777777778
946938941,2956,0.08055555555555556
946938951,2956,0.08333333333333333
946938961,2955,0.08611111111111111
946938971,2953,0.08888888888888889
946938981,2955,0.09166666666666666
946938991,2965,0.09444444444444444
946939001,2962,0.09722222222222222
946939011,2961,0.1
946939021,2951,0.10277777777777777
946939031,2957,0.10555555555555556
946939041,2951,0.10833333333333334
946939051,2955,0.1111111111111111
946939061,2957,0.11388888888888889
946939071,2956,0.11666666666666667
946939081,2953,0.11944444444444445
946939091,2963,0.12222222222222222
946939101,2959,0.125
946939111,2954,0.12777777777777777
946939121,2958,0.13055555555555556
946939131,2953,0.13333333333333333
946939141,2954,0.1361111111111111
946939151,2955,0.1388888888888889
946939161,2957,0.14166666666666666
946939171,2959,0.14444444444444443
946939181,2962,0.14722222222222223
946939191,2955,0.15
946939201,2951,0.1527777777777778
946939211,2956,0.15555555555555556
946939221,2956,0.15833333333333333
946939231,2956,0.16111111111111112
946939241,2961,0.1638888888888889
946939251,2955,0.16666666666666666
946939261,2955,0.16944444444444445
946939271,2957,0.17222222222222222
946939281,2956,0.175
946939291,2963,0.17777777777777778
946939301,2954,0.18055555555555555
946939311,2953,0.18333333333333332
946939321,2958,0.18611111111111112
946939331,2954,0.18888888888888888
946939341,2958,0.19166666666666668
946939351,2961,0.19444444444444445
946939361,2953,0.19722222222222222
946939371,2956,0.2
946939381,2955,0.20277777777777778
946939391,2955,0.20555555555555555
946939401,2956,0.20833333333333334
946939411,2956,0.2111111111111111
946939421,2955,0.21388888888888888
946939431,2956,0.21666666666666667
946939441,2955,0.21944444444444444
946939451,2959,0.2222222222222222
946939461,2955,0.225
946939471,2955,0.22777777777777777
946939481,2955,0.23055555555555557
946939491,2955,0.23333333333333334
946939501,2966,0.2361111111111111
946939511,2954,0.2388888888888889
946939521,2955,0.24166666666666667
946939531,2959,0.24444444444444444
946939541,2953,0.24722222222222223
946939551,2958,0.25
946939561,2957,0.25277777777777777
946939571,2955,0.25555555555555554
946939581,2963,0.25833333333333336
946939591,2956,0.2611111111111111
946939601,2956,0.2638888888888889
946939611,2956,0.26666666666666666
946939621,2957,0.26944444444444443
946939631,2952,0.2722222222222222
946939641,2956,0.275
946939651,2958,0.2777777777777778
946939661,2956,0.28055555555555556
946939671,2959,0.2833333333333333
946939681,2961,0.2861111111111111
946939691,2956,0.28888888888888886
946939701,2957,0.2916666666666667
946939711,2956,0.29444444444444445
946939721,2958,0.2972222222222222
946939731,2961,0.3
946939741,2958,0.30277777777777776
946939751,2961,0.3055555555555556
946939761,2957,0.30833333333333335
946939771,2954,0.3111111111111111
946939781,2956,0.3138888888888889
946939791,2953,0.31666666666666665
946939801,2956,0.3194444444444444
946939811,2955,0.32222222222222224
946939821,2961,0.325
946939831,2955,0.3277777777777778
946939841,2959,0.33055555555555555
