timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,fault_brownout,fault_bolt,fault_sound
946815831,20,2624,2367,0,0,36.02194444444444,257,2624,False,False,False
946817632,20,2601,2333,0,0,36.522222222222226,268,2601,False,False,False
946819433,20,2573,2287,0,0,37.0225,286,2573,False,False,False
946821234,20,2545,2238,0,0,37.522777777777776,307,2545,False,False,False
946823035,20,2521,2182,0,0,38.02305555555556,339,2521,False,False,False
946824836,20,2487,2114,0,0,38.52333333333333,373,2487,False,False,False
946826637,20,2444,712,0,4,39.02361111111111,1732,2444,False,False,True
946827562,20,2311,691,0,5,39.28055555555556,1620,2311,True,False,True
946828484,20,2286,688,0,5,39.53666666666667,1598,2286,True,False,True
946829403,20,2247,677,0,5,39.79194444444445,1570,2247,True,False,True
946830312,20,2225,691,0,5,40.044444444444444,1534,2225,True,False,True
946831220,20,2217,693,0,5,40.29666666666667,1524,2217,True,False,True
946832133,20,2218,685,0,5,40.55027777777778,1533,2218,True,False,True
946833956,20,2158,665,0,5,41.056666666666665,1493,2158,True,False,True
946834866,20,2144,669,0,5,41.309444444444445,1475,2144,True,False,True
946835775,20,2121,654,0,5,41.56194444444444,1467,2121,True,False,True
